1.07E-02	4.47E+01
1.57E-02	4.00E+01
2.36E-02	3.68E+01
3.52E-02	3.36E+01
5.30E-02	3.03E+01
7.97E-02	2.71E+01
1.21E-01	2.35E+01
1.81E-01	1.98E+01
2.72E-01	1.63E+01
4.13E-01	1.29E+01
6.17E-01	9.79E+00
9.29E-01	7.20E+00
1.39E+00	5.16E+00
2.05E+00	3.63E+00
3.07E+00	2.50E+00
4.54E+00	1.72E+00
6.90E+00	1.18E+00
1.03E+01	8.04E-01
1.55E+01	5.52E-01
2.32E+01	3.80E-01
3.46E+01	2.66E-01
5.22E+01	1.83E-01
7.73E+01	1.32E-01
1.15E+02	9.74E-02
1.75E+02	7.21E-02
2.64E+02	5.52E-02
3.97E+02	4.81E-02
5.93E+02	4.29E-02
9.00E+02	4.24E-02
1.35E+03	4.46E-02
2.00E+03	4.78E-02
3.04E+03	5.22E-02
4.49E+03	6.39E-02
6.82E+03	7.39E-02
1.03E+04	8.58E-02
1.52E+04	1.02E-01
2.30E+04	1.20E-01
3.43E+04	1.31E-01
5.21E+04	1.48E-01
7.84E+04	1.65E-01
1.18E+05	1.81E-01
1.77E+05	1.98E-01
2.65E+05	2.13E-01
3.95E+05	2.25E-01
5.89E+05	2.36E-01
8.72E+05	2.44E-01
1.30E+06	2.52E-01
1.94E+06	2.66E-01
2.94E+06	2.95E-01
1.16E+07	4.18E-01
1.35E+07	4.30E-01
1.53E+07	4.33E-01
1.77E+07	4.51E-01
2.04E+07	4.58E-01
2.31E+07	4.73E-01
2.66E+07	4.77E-01
3.09E+07	4.87E-01
3.56E+07	5.00E-01
4.07E+07	5.13E-01
4.65E+07	5.21E-01
5.40E+07	5.38E-01
6.22E+07	5.47E-01
7.11E+07	5.58E-01
8.13E+07	5.71E-01
9.44E+07	5.78E-01
1.11E+08	5.85E-01
1.26E+08	5.92E-01
1.44E+08	5.80E-01
7.61E+08	3.22E-01
6.60E+08	3.37E-01
5.82E+08	3.76E-01
5.05E+08	4.03E-01
4.42E+08	4.30E-01
3.84E+08	4.64E-01
3.36E+08	5.01E-01
2.86E+08	5.16E-01
2.36E+08	5.37E-01
1.92E+08	5.55E-01
1.68E+08	5.66E-01
