0.0107 44.7
0.0157 40
0.0236 36.8
0.0352 33.6
0.053 30.3
0.0797 27.1
0.121 23.5
0.181 19.8
0.272 16.3
0.413 12.9
0.617 9.79
0.929 7.2
1.39 5.16
2.05 3.63
3.07 2.5
4.54 1.72
6.9 1.18
10.3 0.804
15.5 0.552
23.2 0.38
34.6 0.266
52.2 0.183
77.3 0.132
115 0.0974
175 0.0721
264 0.0552
397 0.0481
593 0.0429
900 0.0424
1350 0.0446
2000 0.0478
3040 0.0522
4490 0.0639
6820 0.0739
10300 0.0858
15200 0.102
23000 0.12
34300 0.131
52100 0.148
78400 0.165
118000 0.181
177000 0.198
265000 0.213
395000 0.225
589000 0.236
872000 0.244
1.3e+06 0.252
1.94e+06 0.266
2.94e+06 0.295
1.16e+07 0.418
1.35e+07 0.43
1.53e+07 0.433
1.77e+07 0.451
2.04e+07 0.458
2.31e+07 0.473
2.66e+07 0.477
3.09e+07 0.487
3.56e+07 0.5
4.07e+07 0.513
4.65e+07 0.521
5.4e+07 0.538
6.22e+07 0.547
7.11e+07 0.558
8.13e+07 0.571
9.44e+07 0.578
1.11e+08 0.585
1.26e+08 0.592
1.44e+08 0.58
7.61e+08 0.322
6.6e+08 0.337
5.82e+08 0.376
5.05e+08 0.403
4.42e+08 0.43
3.84e+08 0.464
3.36e+08 0.501
2.86e+08 0.516
2.36e+08 0.537
1.92e+08 0.555
1.68e+08 0.566
