Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
53,1,53,00:24:11,6.309574,1,0,110.00,110.03,108.43,33.28732,0.5978215,1.795943E-02,-7.575324E+07,
54,1,54,00:24:18,5.011872,1,0,110.00,110.03,108.43,33.3347,0.479977,1.439872E-02,-9.524313E+07,
55,1,55,00:24:25,3.981072,1,0,110.00,110.03,108.43,33.36454,0.3905147,1.170448E-02,-1.198052E+08,
56,1,56,00:24:33,3.162277,1,0,110.00,110.03,108.43,33.38356,0.3133759,9.387133E-03,-1.507473E+08,
57,1,57,00:24:40,2.511887,1,0,110.00,110.03,108.43,33.3969,0.2505754,7.502954E-03,-1.897097E+08,
58,1,58,00:24:46,1.995262,1,0,110.00,110.03,108.43,33.40281,0.2022166,6.053882E-03,-2.387929E+08,
59,1,59,00:24:52,1.584893,1,0,110.00,110.03,108.43,33.40849,0.1659436,4.967109E-03,-3.005749E+08,
60,1,60,00:24:59,1.258925,1,0,110.00,110.03,108.43,33.41001,0.1319561,3.949597E-03,-3.783877E+08,
61,1,61,00:25:05,1,1,0,110.00,110.03,108.43,33.41602,9.999676E-02,2.992479E-03,-4.762791E+08,
62,2,1,01:55:52,1000000,1,0,110.00,110.01,108.01,22.27278,0.713107,3.201697E-02,-713.8399,
63,2,2,01:55:58,794328.2,1,0,110.00,110.01,108.01,22.07984,0.7644444,3.462182E-02,-906.3668,
64,2,3,01:56:06,630957.3,1,0,110.00,110.01,108.01,22.00118,0.8362254,3.800821E-02,-1144.847,
65,2,4,01:56:12,501187.3,1,0,110.00,110.01,108.01,22.00539,0.9139604,4.153347E-02,-1440.597,
66,2,5,01:56:17,398107.2,1,0,110.00,110.01,108.01,22.0659,0.9909337,4.490791E-02,-1808.105,
67,2,6,01:56:23,316227.8,1,0,110.00,110.01,108.01,22.15821,1.08768,4.908699E-02,-2265.897,
68,2,7,01:56:29,251188.6,1,0,110.00,110.01,108.01,22.27103,1.194874,5.365149E-02,-2836.819,
69,2,8,01:56:35,199526.2,1,0,110.00,110.01,108.01,22.41647,1.308061,5.835268E-02,-3546.311,
