Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.207534 -1.00571 4.2929 -0.924924 0.456437
-0.198962 -0.997142 4.28499 -0.920698 0.490085
-0.190391 -0.988571 4.27712 -0.916861 0.405245
-0.18182 -0.979999 4.26927 -0.913751 0.320404
-0.173248 -0.971428 4.26145 -0.911368 0.235563
-0.164677 -0.962857 4.25364 -0.909713 0.150722
-0.156105 -0.954285 4.24585 -0.908785 0.0658816
-0.147534 -0.945714 4.23806 -0.908584 -0.0189592
-0.138962 -0.937142 4.23027 -0.90911 -0.1038
-0.130391 -0.928571 4.22248 -0.910363 -0.188641
-0.12182 -0.919999 4.21467 -0.912344 -0.273481
-0.113248 -0.911428 4.20683 -0.915051 -0.358322
-0.104677 -0.902857 4.19898 -0.918486 -0.443163
-0.0961052 -0.894285 4.19109 -0.922648 -0.528004
-0.0875338 -0.885714 4.18316 -0.927538 -0.612844
-0.0789624 -0.877142 4.17518 -0.933154 -0.697685
-0.0703909 -0.868571 4.16716 -0.939498 -0.782526
-0.0618195 -0.859999 4.15908 -0.946569 -0.867367
-0.0532481 -0.851428 4.15093 -0.953995 -0.822031
-0.0446767 -0.842857 4.14272 -0.960568 -0.71156
-0.0361052 -0.834285 4.13447 -0.966193 -0.601089
-0.0275338 -0.825714 4.12616 -0.970872 -0.490617
-0.0189624 -0.817142 4.11783 -0.974604 -0.380146
-0.0103909 -0.808571 4.10946 -0.977389 -0.269675
-0.00181951 -0.799999 4.10107 -0.979227 -0.159204
0.00675192 -0.791428 4.09268 -0.980118 -0.0487329
0.0153233 -0.782857 4.08427 -0.980062 0.0617382
0.0238948 -0.774285 4.07588 -0.97906 0.172209
0.0324662 -0.765714 4.06749 -0.97711 0.28268
0.0410376 -0.757142 4.05913 -0.974214 0.393152
0.0496091 -0.748571 4.05079 -0.970371 0.503623
0.0581805 -0.739999 4.0425 -0.96558 0.614094
0.0667519 -0.731428 4.03424 -0.959843 0.724565
0.0753233 -0.722857 4.02605 -0.953159 0.835036
0.0838948 -0.714285 4.01791 -0.945528 0.945465
0.0924662 -0.705714 4.00984 -0.937835 0.849673
0.101038 -0.697142 4.00183 -0.930963 0.753881
0.109609 -0.688571 3.99387 -0.924911 0.65809
0.11818 -0.679999 3.98597 -0.919681 0.562298
0.126752 -0.671428 3.97811 -0.915272 0.466506
0.135323 -0.662857 3.97028 -0.911684 0.370715
0.143895 -0.654285 3.96248 -0.908917 0.274923
0.152466 -0.645714 3.95469 -0.906971 0.179132
0.161038 -0.637142 3.94692 -0.905846 0.08334
0.169609 -0.628571 3.93916 -0.905542 -0.0124516
