Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -0.646311 -0.475225 0.240645
-0.224677 -1.02286 -0.650376 -0.473287 0.211553
-0.216105 -1.01429 -0.654425 -0.471599 0.182461
-0.207534 -1.00571 -0.658461 -0.470159 0.153369
-0.198962 -0.997142 -0.662486 -0.468943 0.142757
-0.190391 -0.988571 -0.6665 -0.467606 0.169094
-0.18182 -0.979999 -0.670501 -0.466044 0.19543
-0.173248 -0.971428 -0.674488 -0.464256 0.221767
-0.164677 -0.962857 -0.678459 -0.462243 0.248104
-0.156105 -0.954285 -0.682412 -0.460003 0.27444
-0.147534 -0.945714 -0.686344 -0.457538 0.300777
-0.138962 -0.937142 -0.690255 -0.454847 0.327114
-0.130391 -0.928571 -0.694141 -0.45193 0.35345
-0.12182 -0.919999 -0.698001 -0.448788 0.379787
-0.113248 -0.911428 -0.701834 -0.44542 0.406124
-0.104677 -0.902857 -0.705636 -0.441826 0.43246
-0.0961052 -0.894285 -0.709407 -0.438006 0.458797
-0.0875338 -0.885714 -0.713145 -0.43396 0.485134
-0.0789624 -0.877142 -0.716846 -0.429689 0.51147
-0.0703909 -0.868571 -0.72051 -0.425192 0.537807
-0.0618195 -0.859999 -0.724134 -0.42047 0.564144
-0.0532481 -0.851428 -0.727717 -0.41557 0.573288
-0.0446767 -0.842857 -0.731258 -0.410654 0.573829
-0.0361052 -0.834285 -0.734757 -0.405733 0.574371
-0.0275338 -0.825714 -0.738214 -0.400808 0.574912
-0.0189624 -0.817142 -0.741628 -0.395878 0.575454
-0.0103909 -0.808571 -0.745 -0.390943 0.575995
-0.00181951 -0.799999 -0.74833 -0.386004 0.576537
0.00675192 -0.791428 -0.751618 -0.38106 0.577078
0.0153233 -0.782857 -0.754863 -0.376111 0.577619
0.0238948 -0.774285 -0.758065 -0.371157 0.578161
0.0324662 -0.765714 -0.761225 -0.366199 0.578702
0.0410376 -0.757142 -0.764343 -0.361237 0.579244
0.0496091 -0.748571 -0.767418 -0.35627 0.579785
0.0581805 -0.739999 -0.77045 -0.351298 0.580327
0.0667519 -0.731428 -0.77344 -0.346321 0.580868
0.0753233 -0.722857 -0.776387 -0.34134 0.58141
0.0838948 -0.714285 -0.779292 -0.336354 0.581946
0.0924662 -0.705714 -0.782154 -0.331472 0.557144
0.101038 -0.697142 -0.784975 -0.326803 0.532342
0.109609 -0.688571 -0.787757 -0.322346 0.50754
0.11818 -0.679999 -0.790501 -0.318102 0.482737
0.126752 -0.671428 -0.79321 -0.314071 0.457935
0.135323 -0.662857 -0.795886 -0.310252 0.433133
0.143895 -0.654285 -0.79853 -0.306646 0.408331
0.152466 -0.645714 -0.801143 -0.303252 0.383529
0.161038 -0.637142 -0.803729 -0.300071 0.358727
0.169609 -0.628571 -0.806288 -0.297103 0.333925
0.17818 -0.619999 -0.808823 -0.294347 0.309123
0.186752 -0.611428 -0.811334 -0.291803 0.28432
0.195323 -0.602857 -0.813825 -0.289473 0.259518
0.203895 -0.594285 -0.816297 -0.287354 0.234716
0.212466 -0.585714 -0.818752 -0.285449 0.209914
0.221038 -0.577142 -0.821191 -0.283756 0.185112
0.229609 -0.568571 -0.823617 -0.282256 0.173804
0.23818 -0.559999 -0.82603 -0.280699 0.189486
0.246752 -0.551428 -0.828429 -0.279008 0.205167
0.255323 -0.542857 -0.830812 -0.277182 0.220849
0.263895 -0.534285 -0.83318 -0.275222 0.23653
0.272466 -0.525714 -0.83553 -0.273127 0.252212
0.281038 -0.517142 -0.837862 -0.270898 0.267893
0.289609 -0.508571 -0.840174 -0.268535 0.283575
0.29818 -0.499999 -0.842465 -0.266037 0.299257
