PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 2.6827e+03	 1.2500e+02	 3.9114e+00	 6.8808e-02
 1.9307e+03	 1.2500e+02	 3.9129e+00	 8.0705e-02
 1.3895e+03	 1.2500e+02	 3.9142e+00	 1.0076e-01
 1.0000e+03	 1.2500e+02	 3.9155e+00	 1.3122e-01
 7.1969e+02	 1.2500e+02	 3.9168e+00	 1.7547e-01
 5.1795e+02	 1.2500e+02	 3.9185e+00	 2.3823e-01
 3.7276e+02	 1.2500e+02	 3.9206e+00	 3.2638e-01
 2.6827e+02	 1.2500e+02	 3.9238e+00	 4.4940e-01
 1.9307e+02	 1.2500e+02	 3.9292e+00	 6.2067e-01
 1.3895e+02	 1.2500e+02	 3.9382e+00	 8.5766e-01
 1.0000e+02	 1.2500e+02	 3.9532e+00	 1.1849e+00
 7.1969e+01	 1.2500e+02	 3.9785e+00	 1.6354e+00
 5.1795e+01	 1.2500e+02	 4.0202e+00	 2.2519e+00
 3.7276e+01	 1.2500e+02	 4.0828e+00	 3.0893e+00
 2.6827e+01	 1.2500e+02	 4.1772e+00	 4.2269e+00
 1.9307e+01	 1.2500e+02	 4.3088e+00	 5.7737e+00
 1.3895e+01	 1.2500e+02	 4.4684e+00	 7.8627e+00
 1.0000e+01	 1.2500e+02	 4.6594e+00	 1.0713e+01
 7.1969e+00	 1.2500e+02	 4.8702e+00	 1.4625e+01
 5.1795e+00	 1.2500e+02	 5.0781e+00	 1.9990e+01
 3.7276e+00	 1.2500e+02	 5.2622e+00	 2.7356e+01
 2.6827e+00	 1.2500e+02	 5.4356e+00	 3.7667e+01
 1.9307e+00	 1.2500e+02	 5.5850e+00	 5.1959e+01
 1.3895e+00	 1.2500e+02	 5.7216e+00	 7.1952e+01
 1.0000e+00	 1.2500e+02	 5.8783e+00	 9.9577e+01
 7.1969e-01	 1.2500e+02	 6.0434e+00	 1.3799e+02
 5.1795e-01	 1.2500e+02	 6.2852e+00	 1.9127e+02
 3.7276e-01	 1.2500e+02	 6.6265e+00	 2.6503e+02
 2.6827e-01	 1.2500e+02	 7.0891e+00	 3.6746e+02
 1.9307e-01	 1.2500e+02	 7.7648e+00	 5.0950e+02
 1.3895e-01	 1.2500e+02	 8.6963e+00	 7.0566e+02
 1.0000e-01	 1.2500e+02	 1.0043e+01	 9.7644e+02
 7.1969e-02	 1.2500e+02	 1.2143e+01	 1.3496e+03
 5.1795e-02	 1.2500e+02	 1.5103e+01	 1.8676e+03
