pmma-05212015, 21.5.2015, 16:46
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 2.6827e+03	 1.6500e+02	 3.1456e+00	 6.5958e-01
 1.9307e+03	 1.6500e+02	 3.1497e+00	 9.0764e-01
 1.3895e+03	 1.6500e+02	 3.1546e+00	 1.2516e+00
 1.0000e+03	 1.6500e+02	 3.1606e+00	 1.7296e+00
 7.1969e+02	 1.6500e+02	 3.1688e+00	 2.3928e+00
 5.1795e+02	 1.6500e+02	 3.1816e+00	 3.3143e+00
 3.7276e+02	 1.6500e+02	 3.1998e+00	 4.5887e+00
 2.6827e+02	 1.6500e+02	 3.2361e+00	 6.3624e+00
 1.9307e+02	 1.6500e+02	 3.2937e+00	 8.8190e+00
 1.3895e+02	 1.6500e+02	 3.3931e+00	 1.2208e+01
 1.0000e+02	 1.6500e+02	 3.5767e+00	 1.6921e+01
 7.1969e+01	 1.6500e+02	 3.8984e+00	 2.3380e+01
 5.1795e+01	 1.6500e+02	 4.4859e+00	 3.2358e+01
 3.7276e+01	 1.6500e+02	 5.5234e+00	 4.4679e+01
 2.6827e+01	 1.6500e+02	 7.3164e+00	 6.1469e+01
 1.9307e+01	 1.6500e+02	 1.0390e+01	 8.4323e+01
 1.3895e+01	 1.6500e+02	 1.5483e+01	 1.1512e+02
 1.0000e+01	 1.6500e+02	 2.3811e+01	 1.5621e+02
 7.1969e+00	 1.6500e+02	 3.7121e+01	 2.1047e+02
 5.1795e+00	 1.6500e+02	 5.6673e+01	 2.8048e+02
 3.7276e+00	 1.6500e+02	 8.5067e+01	 3.7002e+02
 2.6827e+00	 1.6500e+02	 1.2337e+02	 4.8344e+02
 1.9307e+00	 1.6500e+02	 1.7133e+02	 6.2724e+02
 1.3895e+00	 1.6500e+02	 2.2860e+02	 8.1141e+02
 1.0000e+00	 1.6500e+02	 2.9320e+02	 1.0520e+03
 7.1969e-01	 1.6500e+02	 3.6376e+02	 1.3710e+03
 5.1795e-01	 1.6500e+02	 4.3902e+02	 1.8009e+03
 3.7276e-01	 1.6500e+02	 5.1899e+02	 2.3879e+03
 2.6827e-01	 1.6500e+02	 6.0267e+02	 3.1810e+03
 1.9307e-01	 1.6500e+02	 6.9536e+02	 4.2728e+03
 1.3895e-01	 1.6500e+02	 8.0131e+02	 5.7589e+03
 1.0000e-01	 1.6500e+02	 9.2449e+02	 7.7820e+03
 7.1969e-02	 1.6500e+02	 1.0772e+03	 1.0538e+04
 5.1795e-02	 1.6500e+02	 1.2711e+03	 1.4242e+04
 3.7276e-02	 1.6500e+02	 1.5116e+03	 1.9176e+04
 2.6827e-02	 1.6500e+02	 1.8133e+03	 2.5731e+04
 1.0000e+07	 1.6000e+02	 2.3127e+00	 2.1357e-01
 7.1969e+06	 1.6000e+02	 2.3646e+00	 3.0023e-01
 5.1795e+06	 1.6000e+02	 2.4184e+00	 3.2419e-01
 3.7276e+06	 1.6000e+02	 2.4943e+00	 3.3740e-01
 2.6827e+06	 1.6000e+02	 2.5710e+00	 3.5031e-01
 1.9307e+06	 1.6000e+02	 2.6556e+00	 3.5302e-01
 1.3895e+06	 1.6000e+02	 2.7436e+00	 3.4142e-01
 1.0000e+06	 1.6000e+02	 2.8219e+00	 3.2249e-01
 7.1969e+05	 1.6000e+02	 2.8949e+00	 3.0273e-01
 5.1795e+05	 1.6000e+02	 2.9585e+00	 2.6784e-01
 3.7276e+05	 1.6000e+02	 3.0105e+00	 2.3138e-01
 2.6827e+05	 1.6000e+02	 3.0515e+00	 1.9609e-01
 1.9307e+05	 1.6000e+02	 3.0830e+00	 1.6429e-01
 1.3895e+05	 1.6000e+02	 3.1065e+00	 1.3744e-01
 1.0000e+05	 1.6000e+02	 3.1239e+00	 1.1599e-01
 7.1969e+04	 1.6000e+02	 3.1371e+00	 1.0009e-01
 5.1795e+04	 1.6000e+02	 3.1468e+00	 8.9737e-02
 3.7276e+04	 1.6000e+02	 3.1544e+00	 8.5031e-02
 2.6827e+04	 1.6000e+02	 3.1603e+00	 8.6308e-02
 1.9307e+04	 1.6000e+02	 3.1652e+00	 9.4277e-02
 1.3895e+04	 1.6000e+02	 3.1693e+00	 1.1022e-01
 1.0000e+04	 1.6000e+02	 3.1727e+00	 1.3602e-01
 7.1969e+03	 1.6000e+02	 3.1761e+00	 1.7467e-01
 5.1795e+03	 1.6000e+02	 3.1792e+00	 2.3031e-01
 3.7276e+03	 1.6000e+02	 3.1826e+00	 3.0891e-01
 2.6827e+03	 1.6000e+02	 3.1863e+00	 4.1906e-01
 1.9307e+03	 1.6000e+02	 3.1903e+00	 5.7266e-01
 1.3895e+03	 1.6000e+02	 3.1946e+00	 7.8606e-01
 1.0000e+03	 1.6000e+02	 3.1993e+00	 1.0829e+00
 7.1969e+02	 1.6000e+02	 3.2048e+00	 1.4946e+00
 5.1795e+02	 1.6000e+02	 3.2124e+00	 2.0668e+00
 3.7276e+02	 1.6000e+02	 3.2235e+00	 2.8610e+00
 2.6827e+02	 1.6000e+02	 3.2386e+00	 3.9611e+00
