Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -1.08796 0.427968 0.197062
-0.224677 -1.02286 -1.08429 0.426702 -0.492552
-0.216105 -1.01429 -1.08066 0.419524 -1.18216
-0.207534 -1.00571 -1.07712 0.406436 -1.87178
-0.198962 -0.997142 -1.07371 0.387776 -2.32364
-0.190391 -0.988571 -1.07047 0.36796 -2.30014
-0.18182 -0.979999 -1.0674 0.348345 -2.27663
-0.173248 -0.971428 -1.0645 0.328932 -2.25312
-0.164677 -0.962857 -1.06176 0.309721 -2.22961
-0.156105 -0.954285 -1.05919 0.29071 -2.2061
-0.147534 -0.945714 -1.05678 0.271902 -2.1826
-0.138962 -0.937142 -1.05453 0.253294 -2.15909
-0.130391 -0.928571 -1.05244 0.234889 -2.13558
-0.12182 -0.919999 -1.0505 0.216684 -2.11207
-0.113248 -0.911428 -1.04872 0.198682 -2.08857
-0.104677 -0.902857 -1.0471 0.18088 -2.06506
-0.0961052 -0.894285 -1.04562 0.163281 -2.04155
-0.0875338 -0.885714 -1.0443 0.145882 -2.01804
-0.0789624 -0.877142 -1.04312 0.128686 -1.99453
-0.0703909 -0.868571 -1.04209 0.11169 -1.97103
-0.0618195 -0.859999 -1.0412 0.0948967 -1.94752
-0.0532481 -0.851428 -1.04046 0.0786393 -1.80678
-0.0446767 -0.842857 -1.03985 0.0640072 -1.60738
-0.0361052 -0.834285 -1.03936 0.0510842 -1.40798
-0.0275338 -0.825714 -1.03897 0.0398704 -1.20858
-0.0189624 -0.817142 -1.03867 0.0303657 -1.00918
-0.0103909 -0.808571 -1.03845 0.0225701 -0.809781
-0.00181951 -0.799999 -1.03828 0.0164837 -0.610382
0.00675192 -0.791428 -1.03816 0.0121064 -0.410982
0.0153233 -0.782857 -1.03807 0.00943831 -0.211583
0.0238948 -0.774285 -1.03799 0.00847931 -0.0121836
0.0324662 -0.765714 -1.03792 0.00922945 0.187216
0.0410376 -0.757142 -1.03783 0.0116887 0.386615
0.0496091 -0.748571 -1.03771 0.0158571 0.586015
0.0581805 -0.739999 -1.03755 0.0217347 0.785414
0.0667519 -0.731428 -1.03733 0.0293214 0.984814
0.0753233 -0.722857 -1.03704 0.0386172 1.18421
0.0838948 -0.714285 -1.03667 0.0496222 1.38351
0.0924662 -0.705714 -1.03619 0.0602428 1.09463
0.101038 -0.697142 -1.03564 0.0683873 0.805751
0.109609 -0.688571 -1.03503 0.0740557 0.516871
0.11818 -0.679999 -1.03438 0.0772479 0.227991
0.126752 -0.671428 -1.03371 0.0779641 -0.0608892
0.135323 -0.662857 -1.03305 0.0762041 -0.349769
0.143895 -0.654285 -1.03241 0.071968 -0.638649
0.152466 -0.645714 -1.03182 0.0652558 -0.92753
0.161038 -0.637142 -1.0313 0.0560675 -1.21641
0.169609 -0.628571 -1.03087 0.0444031 -1.50529
0.17818 -0.619999 -1.03055 0.0302626 -1.79417
0.186752 -0.611428 -1.03036 0.0136459 -2.08305
0.195323 -0.602857 -1.03032 -0.00544687 -2.37193
0.203895 -0.594285 -1.03046 -0.0270158 -2.66081
0.212466 -0.585714 -1.03079 -0.0510608 -2.94969
0.221038 -0.577142 -1.03134 -0.0775819 -3.23857
0.229609 -0.568571 -1.03213 -0.106175 -3.24453
0.23818 -0.559999 -1.03315 -0.131586 -2.68463
0.246752 -0.551428 -1.03437 -0.152197 -2.12473
0.255323 -0.542857 -1.03574 -0.16801 -1.56483
0.263895 -0.534285 -1.03724 -0.179023 -1.00493
