Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -0.916386 0.144164 -1.68931
-0.224677 -1.02286 -0.915216 0.12856 -1.95157
-0.216105 -1.01429 -0.914189 0.110709 -2.21383
-0.207534 -1.00571 -0.913324 0.090609 -2.47608
-0.198962 -0.997142 -0.912642 0.0685017 -2.57017
-0.190391 -0.988571 -0.912146 0.0475095 -2.328
-0.18182 -0.979999 -0.911821 0.0285931 -2.08583
-0.173248 -0.971428 -0.91165 0.0117524 -1.84366
-0.164677 -0.962857 -0.911614 -0.00301252 -1.60149
-0.156105 -0.954285 -0.911696 -0.0157017 -1.35932
-0.147534 -0.945714 -0.911877 -0.0263152 -1.11715
-0.138962 -0.937142 -0.912141 -0.0348529 -0.874983
-0.130391 -0.928571 -0.912469 -0.0413149 -0.632813
-0.12182 -0.919999 -0.912843 -0.0457012 -0.390644
-0.113248 -0.911428 -0.913246 -0.0480117 -0.148474
-0.104677 -0.902857 -0.91366 -0.0482464 0.0936961
-0.0961052 -0.894285 -0.914067 -0.0464054 0.335866
-0.0875338 -0.885714 -0.91445 -0.0424887 0.578036
-0.0789624 -0.877142 -0.91479 -0.0364963 0.820205
-0.0703909 -0.868571 -0.915069 -0.028428 1.06238
-0.0618195 -0.859999 -0.915271 -0.0182841 1.30455
-0.0532481 -0.851428 -0.915378 -0.00684039 1.27506
-0.0446767 -0.842857 -0.915392 0.00337978 1.10965
-0.0361052 -0.834285 -0.915325 0.0121822 0.944238
-0.0275338 -0.825714 -0.915188 0.0195667 0.778827
-0.0189624 -0.817142 -0.914993 0.0255335 0.613417
-0.0103909 -0.808571 -0.914754 0.0300824 0.448006
-0.00181951 -0.799999 -0.914482 0.0332136 0.282595
0.00675192 -0.791428 -0.914189 0.0349269 0.117185
0.0153233 -0.782857 -0.913887 0.0352225 -0.0482261
0.0238948 -0.774285 -0.913589 0.0341002 -0.213637
0.0324662 -0.765714 -0.913306 0.0315601 -0.379047
0.0410376 -0.757142 -0.913052 0.0276022 -0.544458
0.0496091 -0.748571 -0.912837 0.0222266 -0.709869
0.0581805 -0.739999 -0.912675 0.0154331 -0.87528
0.0667519 -0.731428 -0.912577 0.00722176 -1.04069
0.0753233 -0.722857 -0.912555 -0.00240734 -1.2061
0.0838948 -0.714285 -0.912622 -0.0134543 -1.37145
0.0924662 -0.705714 -0.912786 -0.0246394 -1.23842
0.101038 -0.697142 -0.913041 -0.0346843 -1.10539
0.109609 -0.688571 -0.913377 -0.0435889 -0.972356
0.11818 -0.679999 -0.913785 -0.0513533 -0.839325
0.126752 -0.671428 -0.914255 -0.0579773 -0.706294
0.135323 -0.662857 -0.914776 -0.0634612 -0.573263
0.143895 -0.654285 -0.915339 -0.0678047 -0.440231
0.152466 -0.645714 -0.915935 -0.071008 -0.3072
0.161038 -0.637142 -0.916553 -0.073071 -0.174169
0.169609 -0.628571 -0.917184 -0.0739937 -0.0411378
0.17818 -0.619999 -0.917818 -0.0737762 0.0918934
0.186752 -0.611428 -0.918446 -0.0724184 0.224925
0.195323 -0.602857 -0.919057 -0.0699204 0.357956
0.203895 -0.594285 -0.919641 -0.066282 0.490987
0.212466 -0.585714 -0.92019 -0.0615034 0.624018
0.221038 -0.577142 -0.920692 -0.0555846 0.757049
0.229609 -0.568571 -0.921139 -0.0485573 0.867802
0.23818 -0.559999 -0.921523 -0.0408353 0.933996
0.246752 -0.551428 -0.921838 -0.0325459 1.00019
0.255323 -0.542857 -0.922079 -0.0236892 1.06638
0.263895 -0.534285 -0.922242 -0.0142651 1.13258
0.272466 -0.525714 -0.922322 -0.00427356 1.19877
0.281038 -0.517142 -0.922314 0.00628531 1.26496
0.289609 -0.508571 -0.922213 0.0174116 1.33116
0.29818 -0.499999 -0.922014 0.0291052 1.39735
0.306752 -0.491428 -0.921712 0.0413662 1.46355
0.315323 -0.482857 -0.921303 0.0541945 1.52974
0.323895 -0.474285 -0.920781 0.0675903 1.59593
0.332466 -0.465714 -0.920143 0.0815534 1.66213
0.341038 -0.457142 -0.919382 0.0960839 1.72832
0.349609 -0.448571 -0.918494 0.111182 1.79452
0.35818 -0.439999 -0.917474 0.126847 1.86071
0.366752 -0.431428 -0.916318 0.14308 1.9269
0.375323 -0.422857 -0.915021 0.159156 1.73984
