2.25734 -6.65693 
2.30947 -6.29029 
2.33645 -6.15934 
2.36407 -6.53463 
2.39234 -6.16217 
2.42131 -5.80771 
2.45098 -5.647 0.460384 
2.48139 -5.35911 0.748157 
2.51256 -5.21431 1.11348 
2.54453 -4.98906 1.43004 
2.57732 -4.69069 1.87985 
2.61097 -4.36201 0.211353 
2.6455 -4.0527 2.94702 
2.68097 -3.72155 
2.75482 -3.23278 -0.423464 
2.7933 -3.15835 0.123898 
2.83286 -3.05153 0.458355 
2.87356 -2.88693 
2.91545 -2.73318 
2.95858 -2.51863 
3.003 -2.41491 
3.04878 -2.15262 
3.09598 -1.94604 
3.14465 -1.7404 
3.19489 -1.52711 
3.24675 -1.30165 
3.30033 -1.13112 -1.07716 -8.56904 
3.3557 -0.846786 
3.59712 0.0557179 
