total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=13)
[[1.941039],[2.083893],[2.226752],[2.369609],[2.512468],[2.655326],[2.798180],[2.941039],[3.083893],[3.226752],[3.369609],[3.512468],[3.655326]]

yData (#.=13)
[-0.853321,-0.853927,-0.860231,-0.870441,-0.882809,-0.898278,-0.916131,-0.934943,-0.957418,-0.980903,-1.009853,-1.036981,-1.063294]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 53
7.08389 6.28571 -1.79331 1.8787
7.22675 6.42857 -1.7949 1.8779
7.36961 6.57143 -2.19452 1.8825
7.51247 6.71429 -1.46429 1.8832
7.65533 6.85715 -1.16556 1.8973
7.79818 7 -2.20809 1.9051


Cubic Spline Interpolation (Global Range), Raw Loss
log.afreq  log.sfreq  f  df  d2f                   
===================================================
-0.773248 -1.57143 -1.31412 0.32505 -3.38959
-0.764677 -1.56286 -1.31146 0.295996 -3.38959
-0.756105 -1.55429 -1.30905 0.266942 -3.38959
-0.747534 -1.54571 -1.30689 0.237889 -3.38959
-0.738962 -1.53714 -1.30497 0.208835 -3.38959
-0.730391 -1.52857 -1.30331 0.179782 -3.38959
-0.721819 -1.52 -1.30189 0.150728 -3.38959
-0.713248 -1.51143 -1.30072 0.121674 -3.38959
-0.704677 -1.50286 -1.2998 0.0926206 -3.38959
-0.696105 -1.49429 -1.29913 0.0635669 -3.38959
-0.687534 -1.48571 -1.29871 0.0345133 -3.38959
-0.678962 -1.47714 -1.29854 0.00545964 -3.38959
-0.670391 -1.46857 -1.29862 -0.023594 -3.38959
-0.661819 -1.46 -1.29895 -0.0526477 -3.38959
-0.653248 -1.45143 -1.29952 -0.0817013 -3.38959
-0.644677 -1.44286 -1.30035 -0.110755 -3.38959
-0.636105 -1.43429 -1.30142 -0.139809 -3.38959
-0.627534 -1.42571 -1.30274 -0.168583 -3.19394
-0.618962 -1.41714 -1.3043 -0.193444 -2.607
-0.610391 -1.40857 -1.30605 -0.213274 -2.02006
-0.601819 -1.4 -1.30794 -0.228074 -1.43312
-0.593248 -1.39143 -1.30994 -0.237842 -0.846183
-0.584677 -1.38286 -1.312 -0.24258 -0.259244
