Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -0.46534 -1.63367 -8.80834
-0.224677 -1.02286 -0.479674 -1.71211 -9.49273
-0.216105 -1.01429 -0.494707 -1.79641 -10.1771
-0.207534 -1.00571 -0.510487 -1.88657 -10.8615
-0.198962 -0.997142 -0.527064 -1.98142 -10.7194
-0.190391 -0.988571 -0.544419 -2.06561 -8.92485
-0.18182 -0.979999 -0.56243 -2.13442 -7.13028
-0.173248 -0.971428 -0.580965 -2.18785 -5.33572
-0.164677 -0.962857 -0.599892 -2.22589 -3.54115
-0.156105 -0.954285 -0.619079 -2.24855 -1.74659
-0.147534 -0.945714 -0.638395 -2.25583 0.0479746
-0.138962 -0.937142 -0.657707 -2.24773 1.84254
-0.130391 -0.928571 -0.676883 -2.22424 3.6371
-0.12182 -0.919999 -0.695793 -2.18538 5.43167
-0.113248 -0.911428 -0.714303 -2.13113 7.22623
-0.104677 -0.902857 -0.732282 -2.0615 9.0208
-0.0961052 -0.894285 -0.749599 -1.97649 10.8154
-0.0875338 -0.885714 -0.766121 -1.87609 12.6099
-0.0789624 -0.877142 -0.781717 -1.76032 14.4045
-0.0703909 -0.868571 -0.796254 -1.62916 16.1991
-0.0618195 -0.859999 -0.809601 -1.48262 17.9936
-0.0532481 -0.851428 -0.821637 -1.32631 17.8253
-0.0446767 -0.842857 -0.832365 -1.17845 16.6748
-0.0361052 -0.834285 -0.841867 -1.04045 15.5243
-0.0275338 -0.825714 -0.850229 -0.912317 14.3738
-0.0189624 -0.817142 -0.857535 -0.794044 13.2233
-0.0103909 -0.808571 -0.86387 -0.685632 12.0728
-0.00181951 -0.799999 -0.869317 -0.587082 10.9223
0.00675192 -0.791428 -0.873962 -0.498393 9.77181
0.0153233 -0.782857 -0.877889 -0.419565 8.62131
0.0238948 -0.774285 -0.881183 -0.350599 7.47082
0.0324662 -0.765714 -0.883928 -0.291494 6.32032
0.0410376 -0.757142 -0.886208 -0.24225 5.16983
0.0496091 -0.748571 -0.888109 -0.202868 4.01933
0.0581805 -0.739999 -0.889714 -0.173347 2.86884
0.0667519 -0.731428 -0.891108 -0.153688 1.71834
0.0753233 -0.722857 -0.892377 -0.14389 0.567846
0.0838948 -0.714285 -0.893603 -0.143953 -0.582427
0.0924662 -0.705714 -0.894859 -0.149262 -0.656158
0.101038 -0.697142 -0.896164 -0.155202 -0.72989
0.109609 -0.688571 -0.897522 -0.161774 -0.803622
0.11818 -0.679999 -0.898939 -0.168978 -0.877354
0.126752 -0.671428 -0.90042 -0.176814 -0.951085
0.135323 -0.662857 -0.901972 -0.185283 -1.02482
0.143895 -0.654285 -0.903599 -0.194383 -1.09855
0.152466 -0.645714 -0.905306 -0.204115 -1.17228
0.161038 -0.637142 -0.907099 -0.214479 -1.24601
0.169609 -0.628571 -0.908984 -0.225475 -1.31974
0.17818 -0.619999 -0.910967 -0.237103 -1.39348
0.186752 -0.611428 -0.913051 -0.249363 -1.46721
0.195323 -0.602857 -0.915243 -0.262255 -1.54094
0.203895 -0.594285 -0.917549 -0.275779 -1.61467
0.212466 -0.585714 -0.919973 -0.289935 -1.6884
0.221038 -0.577142 -0.922521 -0.304723 -1.76213
0.229609 -0.568571 -0.925198 -0.320026 -1.754
0.23818 -0.559999 -0.928004 -0.334324 -1.58211
0.246752 -0.551428 -0.930925 -0.347148 -1.41023
0.255323 -0.542857 -0.93395 -0.358499 -1.23835
0.263895 -0.534285 -0.937067 -0.368377 -1.06646
0.272466 -0.525714 -0.940261 -0.376782 -0.894579
0.281038 -0.517142 -0.943522 -0.383713 -0.722695
0.289609 -0.508571 -0.946835 -0.389171 -0.550811
0.29818 -0.499999 -0.950189 -0.393155 -0.378928
0.306752 -0.491428 -0.953571 -0.395667 -0.207044
0.315323 -0.482857 -0.956967 -0.396705 -0.0351603
0.323895 -0.474285 -0.960367 -0.396269 0.136723
0.332466 -0.465714 -0.963756 -0.394361 0.308607
0.341038 -0.457142 -0.967123 -0.390979 0.480491
0.349609 -0.448571 -0.970455 -0.386124 0.652374
0.35818 -0.439999 -0.973738 -0.379795 0.824258
0.366752 -0.431428 -0.976961 -0.371994 0.996142
0.375323 -0.422857 -0.980112 -0.362931 1.09382
0.383895 -0.414285 -0.983181 -0.353296 1.15438
0.392466 -0.405714 -0.986167 -0.343141 1.21495
0.401038 -0.397142 -0.989062 -0.332468 1.27552
0.409609 -0.388571 -0.991865 -0.321275 1.33609
0.41818 -0.379999 -0.994568 -0.309563 1.39666
0.426752 -0.371428 -0.99717 -0.297332 1.45723
0.435323 -0.362857 -0.999664 -0.284582 1.5178
0.443895 -0.354285 -1.00205 -0.271313 1.57837
0.452466 -0.345714 -1.00431 -0.257525 1.63893
0.461038 -0.337142 -1.00646 -0.243217 1.6995
0.469609 -0.328571 -1.00848 -0.22839 1.76007
0.47818 -0.319999 -1.01037 -0.213044 1.82064
0.486752 -0.311428 -1.01213 -0.197179 1.88121
0.495323 -0.302857 -1.01375 -0.180795 1.94178
0.503895 -0.294285 -1.01523 -0.163892 2.00235
0.512466 -0.285714 -1.01656 -0.146469 2.06292
0.521038 -0.277142 -1.01774 -0.128987 2.01627
0.529609 -0.268571 -1.01877 -0.111905 1.9696
0.53818 -0.259999 -1.01966 -0.0952223 1.92293
0.546752 -0.251428 -1.02041 -0.0789401 1.87625
0.555323 -0.242857 -1.02101 -0.0630579 1.82958
0.563895 -0.234285 -1.02149 -0.0475758 1.78291
0.572466 -0.225714 -1.02183 -0.0324937 1.73624
0.581038 -0.217142 -1.02205 -0.0178117 1.68957
0.589609 -0.208571 -1.02214 -0.00352964 1.6429
0.59818 -0.199999 -1.02211 0.0103523 1.59623
0.606752 -0.191428 -1.02196 0.0238343 1.54956
0.615323 -0.182857 -1.0217 0.0369162 1.50289
0.623895 -0.174285 -1.02133 0.049598 1.45622
0.632466 -0.165714 -1.02085 0.0618799 1.40954
0.641038 -0.157142 -1.02027 0.0737616 1.36287
0.649609 -0.148571 -1.01959 0.0852434 1.3162
0.65818 -0.139999 -1.01881 0.0962756 1.23487
0.666752 -0.131428 -1.01794 0.106214 1.08413
0.675323 -0.122857 -1.01699 0.114861 0.933385
0.683895 -0.114285 -1.01598 0.122215 0.782642
0.692466 -0.105714 -1.0149 0.128277 0.631898
