443 -6.65693 
433 -6.29029 
428 -6.15934 
423 -6.53463 
418 -6.16217 
413 -5.80771 
408 -5.647 0.460384 
403 -5.35911 0.748157 
398 -5.21431 1.11348 
393 -4.98906 1.43004 
388 -4.69069 1.87985 
383 -4.36201 0.211353 
378 -4.0527 2.94702 
373 -3.72155 
363 -3.23278 -0.423464 
358 -3.15835 0.123898 
353 -3.05153 0.458355 
348 -2.88693 
343 -2.73318 
338 -2.51863 
333 -2.41491 
328 -2.15262 
323 -1.94604 
318 -1.7404 
313 -1.52711 
308 -1.30165 
303 -1.13112 -1.07716 -8.56904 
298 -0.846786 
278 0.0557179 
