Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.224677 -1.02286 -0.976462 0.0417027 0.267706
-0.216105 -1.01429 -0.97609 0.0455066 0.619852
-0.207534 -1.00571 -0.975673 0.0523288 0.971997
-0.198962 -0.997142 -0.975185 0.0619447 1.1669
-0.190391 -0.988571 -0.974612 0.0714347 1.04742
-0.18182 -0.979999 -0.973963 0.0799004 0.927933
-0.173248 -0.971428 -0.973246 0.0873421 0.808447
-0.164677 -0.962857 -0.972469 0.0937595 0.688961
-0.156105 -0.954285 -0.971641 0.0991528 0.569475
-0.147534 -0.945714 -0.970772 0.103522 0.449989
-0.138962 -0.937142 -0.96987 0.106867 0.330503
-0.130391 -0.928571 -0.968943 0.109188 0.211017
-0.12182 -0.919999 -0.968001 0.110484 0.0915309
-0.113248 -0.911428 -0.967052 0.110757 -0.0279551
-0.104677 -0.902857 -0.966105 0.110005 -0.147441
-0.0961052 -0.894285 -0.965169 0.108229 -0.266927
-0.0875338 -0.885714 -0.964252 0.105429 -0.386413
-0.0789624 -0.877142 -0.963364 0.101605 -0.505899
-0.0703909 -0.868571 -0.962514 0.0967567 -0.625385
-0.0618195 -0.859999 -0.961709 0.0908841 -0.744871
-0.0532481 -0.851428 -0.960958 0.0843819 -0.726268
-0.0446767 -0.842857 -0.96026 0.0785326 -0.638572
-0.0361052 -0.834285 -0.959609 0.073435 -0.550876
-0.0275338 -0.825714 -0.958999 0.069089 -0.463179
-0.0189624 -0.817142 -0.958423 0.0654947 -0.375483
-0.0103909 -0.808571 -0.957874 0.0626521 -0.287787
-0.00181951 -0.799999 -0.957347 0.0605612 -0.20009
0.00675192 -0.791428 -0.956834 0.059222 -0.112394
0.0153233 -0.782857 -0.956329 0.0586345 -0.0246976
0.0238948 -0.774285 -0.955826 0.0587986 0.0629988
0.0324662 -0.765714 -0.955319 0.0597145 0.150695
0.0410376 -0.757142 -0.954801 0.061382 0.238391
0.0496091 -0.748571 -0.954265 0.0638012 0.326088
0.0581805 -0.739999 -0.953705 0.0669721 0.413784
