Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.216105 -1.01429 2.82076 -0.687013 1.60565
-0.207534 -1.00571 2.81493 -0.672495 1.7821
-0.198962 -0.997142 2.80924 -0.656572 1.88248
-0.190391 -0.988571 2.80368 -0.640658 1.83078
-0.18182 -0.979999 2.79825 -0.625187 1.77907
-0.173248 -0.971428 2.79296 -0.61016 1.72737
-0.164677 -0.962857 2.78779 -0.595575 1.67567
-0.156105 -0.954285 2.78275 -0.581434 1.62396
-0.147534 -0.945714 2.77782 -0.567736 1.57226
-0.138962 -0.937142 2.77301 -0.554481 1.52056
-0.130391 -0.928571 2.76832 -0.541669 1.46885
-0.12182 -0.919999 2.76373 -0.529301 1.41715
-0.113248 -0.911428 2.75924 -0.517375 1.36545
-0.104677 -0.902857 2.75486 -0.505893 1.31375
-0.0961052 -0.894285 2.75057 -0.494854 1.26204
-0.0875338 -0.885714 2.74637 -0.484258 1.21034
-0.0789624 -0.877142 2.74226 -0.474105 1.15864
-0.0703909 -0.868571 2.73824 -0.464395 1.10693
-0.0618195 -0.859999 2.7343 -0.455129 1.05523
-0.0532481 -0.851428 2.73044 -0.446373 0.980096
-0.0446767 -0.842857 2.72665 -0.438344 0.893238
-0.0361052 -0.834285 2.72292 -0.43106 0.806379
-0.0275338 -0.825714 2.71926 -0.424521 0.719521
-0.0189624 -0.817142 2.71564 -0.418725 0.632663
-0.0103909 -0.808571 2.71208 -0.413675 0.545804
-0.00181951 -0.799999 2.70855 -0.409369 0.458946
0.00675192 -0.791428 2.70506 -0.405807 0.372087
0.0153233 -0.782857 2.70159 -0.40299 0.285229
0.0238948 -0.774285 2.69815 -0.400918 0.19837
0.0324662 -0.765714 2.69471 -0.39959 0.111512
0.0410376 -0.757142 2.69129 -0.399006 0.0246532
0.0496091 -0.748571 2.68787 -0.399167 -0.0622052
0.0581805 -0.739999 2.68445 -0.400072 -0.149064
0.0667519 -0.731428 2.68101 -0.401722 -0.235922
0.0753233 -0.722857 2.67756 -0.404117 -0.322781
0.0838948 -0.714285 2.67408 -0.407256 -0.409593
0.0924662 -0.705714 2.67058 -0.410182 -0.273295
0.101038 -0.697142 2.66705 -0.411941 -0.136997
0.109609 -0.688571 2.66352 -0.412531 -0.000698685
0.11818 -0.679999 2.65999 -0.411953 0.135599
0.126752 -0.671428 2.65646 -0.410206 0.271898
0.135323 -0.662857 2.65296 -0.407292 0.408196
0.143895 -0.654285 2.64948 -0.403209 0.544494
0.152466 -0.645714 2.64605 -0.397957 0.680792
0.161038 -0.637142 2.64266 -0.391538 0.81709
0.169609 -0.628571 2.63934 -0.38395 0.953388
0.17818 -0.619999 2.63608 -0.375194 1.08969
0.186752 -0.611428 2.63291 -0.36527 1.22598
0.195323 -0.602857 2.62983 -0.354177 1.36228
0.203895 -0.594285 2.62684 -0.341916 1.49858
0.212466 -0.585714 2.62397 -0.328487 1.63488
0.221038 -0.577142 2.62121 -0.31389 1.77118
0.229609 -0.568571 2.61859 -0.298231 1.83266
0.23818 -0.559999 2.6161 -0.282901 1.74449
0.246752 -0.551428 2.61374 -0.268326 1.65633
0.255323 -0.542857 2.6115 -0.254506 1.56816
0.263895 -0.534285 2.60937 -0.241443 1.48
0.272466 -0.525714 2.60736 -0.229135 1.39183
0.281038 -0.517142 2.60544 -0.217583 1.30367
0.289609 -0.508571 2.60363 -0.206786 1.2155
0.29818 -0.499999 2.6019 -0.196746 1.12734
0.306752 -0.491428 2.60025 -0.187461 1.03917
0.315323 -0.482857 2.59868 -0.178931 0.951006
0.323895 -0.474285 2.59718 -0.171158 0.862841
0.332466 -0.465714 2.59574 -0.16414 0.774676
0.341038 -0.457142 2.59436 -0.157878 0.686511
0.349609 -0.448571 2.59304 -0.152371 0.598346
0.35818 -0.439999 2.59175 -0.14762 0.510181
0.366752 -0.431428 2.5905 -0.143625 0.422016
0.375323 -0.422857 2.58929 -0.140342 0.349004
0.383895 -0.414285 2.5881 -0.137631 0.283569
0.392466 -0.405714 2.58693 -0.135481 0.218133
0.401038 -0.397142 2.58577 -0.133892 0.152698
0.409609 -0.388571 2.58463 -0.132864 0.0872629
0.41818 -0.379999 2.58349 -0.132396 0.0218276
0.426752 -0.371428 2.58236 -0.132489 -0.0436077
0.435323 -0.362857 2.58122 -0.133144 -0.109043
0.443895 -0.354285 2.58007 -0.134359 -0.174478
0.452466 -0.345714 2.57891 -0.136135 -0.239913
0.461038 -0.337142 2.57774 -0.138471 -0.305349
0.469609 -0.328571 2.57654 -0.141369 -0.370784
0.47818 -0.319999 2.57531 -0.144828 -0.436219
0.486752 -0.311428 2.57405 -0.148847 -0.501655
0.495323 -0.302857 2.57276 -0.153428 -0.56709
0.503895 -0.294285 2.57142 -0.158569 -0.632525
0.512466 -0.285714 2.57004 -0.164271 -0.69796
0.521038 -0.277142 2.56861 -0.170055 -0.651647
0.529609 -0.268571 2.56713 -0.175442 -0.60531
0.53818 -0.259999 2.5656 -0.180432 -0.558974
0.546752 -0.251428 2.56403 -0.185024 -0.512637
0.555323 -0.242857 2.56243 -0.18922 -0.4663
0.563895 -0.234285 2.56079 -0.193018 -0.419963
0.572466 -0.225714 2.55912 -0.196419 -0.373626
