1.07E-02	2.53E+02
1.59E-02	2.00E+02
2.39E-02	1.57E+02
3.60E-02	1.26E+02
5.41E-02	1.03E+02
8.08E-02	8.45E+01
1.22E-01	7.16E+01
1.85E-01	6.13E+01
2.78E-01	5.26E+01
4.19E-01	4.54E+01
6.25E-01	3.88E+01
9.41E-01	3.28E+01
1.42E+00	2.72E+01
2.10E+00	2.18E+01
3.13E+00	1.72E+01
4.64E+00	1.32E+01
7.04E+00	9.85E+00
1.04E+01	7.21E+00
1.58E+01	5.09E+00
2.37E+01	3.58E+00
3.53E+01	2.45E+00
5.28E+01	1.69E+00
7.88E+01	1.15E+00
1.19E+02	7.83E-01
1.79E+02	5.33E-01
2.69E+02	3.65E-01
4.06E+02	2.53E-01
6.06E+02	1.77E-01
9.12E+02	1.25E-01
1.36E+03	8.85E-02
2.04E+03	6.58E-02
3.06E+03	4.98E-02
4.58E+03	4.13E-02
6.94E+03	3.58E-02
1.04E+04	3.42E-02
1.53E+04	3.79E-02
2.31E+04	4.21E-02
3.47E+04	4.25E-02
5.27E+04	5.00E-02
7.85E+04	6.02E-02
1.20E+05	7.31E-02
1.78E+05	8.73E-02
2.70E+05	1.04E-01
4.02E+05	1.22E-01
6.00E+05	1.41E-01
8.80E+05	1.59E-01
1.32E+06	1.80E-01
1.97E+06	2.02E-01
2.97E+06	2.39E-01
1.19E+07	3.36E-01
1.40E+07	3.62E-01
1.59E+07	3.45E-01
2.05E+07	3.67E-01
2.37E+07	3.73E-01
1.86E+07	3.76E-01
2.75E+07	3.79E-01
3.17E+07	3.85E-01
3.65E+07	3.97E-01
4.21E+07	4.12E-01
4.89E+07	4.25E-01
5.63E+07	4.38E-01
6.44E+07	4.48E-01
7.42E+07	4.67E-01
8.48E+07	4.78E-01
9.85E+07	4.94E-01
1.12E+08	5.06E-01
1.29E+08	5.18E-01
1.49E+08	5.40E-01
1.69E+08	5.53E-01
1.95E+08	5.62E-01
2.27E+08	5.85E-01
2.57E+08	5.99E-01
2.98E+08	6.21E-01
3.38E+08	6.47E-01
3.90E+08	6.47E-01
4.49E+08	6.54E-01
5.17E+08	6.54E-01
5.91E+08	6.46E-01
6.65E+08	6.11E-01
7.72E+08	6.08E-01
8.83E+08	5.61E-01
