Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -0.695313 -0.134813 -0.108214
-0.224677 -1.02286 -0.696474 -0.136175 -0.209611
-0.216105 -1.01429 -0.69765 -0.138406 -0.311008
-0.207534 -1.00571 -0.698849 -0.141506 -0.412405
-0.198962 -0.997142 -0.700079 -0.14539 -0.453993
-0.190391 -0.988571 -0.701341 -0.148948 -0.375997
-0.18182 -0.979999 -0.70263 -0.151836 -0.298
-0.173248 -0.971428 -0.703942 -0.154056 -0.220004
-0.164677 -0.962857 -0.705269 -0.155608 -0.142007
-0.156105 -0.954285 -0.706607 -0.156491 -0.0640105
-0.147534 -0.945714 -0.70795 -0.156705 0.013986
-0.138962 -0.937142 -0.709292 -0.156251 0.0919826
-0.130391 -0.928571 -0.710627 -0.155128 0.169979
-0.12182 -0.919999 -0.711949 -0.153337 0.247976
-0.113248 -0.911428 -0.713253 -0.150877 0.325972
-0.104677 -0.902857 -0.714534 -0.147749 0.403969
-0.0961052 -0.894285 -0.715784 -0.143952 0.481965
-0.0875338 -0.885714 -0.716999 -0.139487 0.559962
-0.0789624 -0.877142 -0.718174 -0.134353 0.637958
-0.0703909 -0.868571 -0.719301 -0.12855 0.715955
-0.0618195 -0.859999 -0.720375 -0.122079 0.793951
-0.0532481 -0.851428 -0.721392 -0.115177 0.788961
-0.0446767 -0.842857 -0.722351 -0.108613 0.742448
-0.0361052 -0.834285 -0.723255 -0.102449 0.695935
-0.0275338 -0.825714 -0.724108 -0.0966831 0.649421
-0.0189624 -0.817142 -0.724914 -0.0913159 0.602908
-0.0103909 -0.808571 -0.725675 -0.0863475 0.556395
-0.00181951 -0.799999 -0.726395 -0.0817777 0.509881
0.00675192 -0.791428 -0.727078 -0.0776067 0.463368
0.0153233 -0.782857 -0.727727 -0.0738343 0.416855
0.0238948 -0.774285 -0.728345 -0.0704606 0.370341
0.0324662 -0.765714 -0.728936 -0.0674856 0.323828
0.0410376 -0.757142 -0.729503 -0.0649093 0.277315
0.0496091 -0.748571 -0.73005 -0.0627316 0.230801
0.0581805 -0.739999 -0.730579 -0.0609527 0.184288
0.0667519 -0.731428 -0.731096 -0.0595724 0.137775
0.0753233 -0.722857 -0.731602 -0.0585908 0.0912612
0.0838948 -0.714285 -0.732101 -0.0580079 0.0447583
0.0924662 -0.705714 -0.732597 -0.0576079 0.0485903
0.101038 -0.697142 -0.733089 -0.0571749 0.0524223
0.109609 -0.688571 -0.733577 -0.0567092 0.0562544
0.11818 -0.679999 -0.734061 -0.0562106 0.0600864
0.126752 -0.671428 -0.73454 -0.0556791 0.0639184
0.135323 -0.662857 -0.735015 -0.0551148 0.0677504
0.143895 -0.654285 -0.735485 -0.0545177 0.0715825
0.152466 -0.645714 -0.73595 -0.0538877 0.0754145
0.161038 -0.637142 -0.736409 -0.0532249 0.0792465
0.169609 -0.628571 -0.736862 -0.0525292 0.0830785
0.17818 -0.619999 -0.737309 -0.0518007 0.0869106
0.186752 -0.611428 -0.73775 -0.0510393 0.0907426
0.195323 -0.602857 -0.738184 -0.0502451 0.0945746
0.203895 -0.594285 -0.738611 -0.049418 0.0984067
0.212466 -0.585714 -0.739031 -0.0485581 0.102239
0.221038 -0.577142 -0.739443 -0.0476654 0.106071
