total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=15)
[[0.226752],[0.369609],[0.512468],[0.655326],[0.798180],[0.941039],[1.083893],[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752]]

yData (#.=15)
[-0.040298,0.010726,0.062910,0.089677,0.073987,0.023691,-0.063809,-0.169722,-0.349168,-0.533894,-0.733529,-0.962342,-1.204677,-1.435824,-1.637739]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 30
7.08389 6.28571 -0.783288 2.4579
7.22675 6.42857 -0.988756 2.4298
7.36961 6.57143 -1.00826 2.4109
7.51247 6.71429 -1.34679 2.3921
7.65533 6.85715 -2.00734 2.3908
7.79818 7 -0.991773 2.3791


Cubic Spline Interpolation (Global Range), Raw Loss
log.afreq  log.sfreq  f  df  d2f                   
===================================================
-0.773248 -1.57143 0.391339 -0.0940063 -4.95611
-0.764677 -1.56286 0.390351 -0.136487 -4.95611
-0.756105 -1.55429 0.388999 -0.178968 -4.95611
-0.747534 -1.54571 0.387283 -0.221449 -4.95611
-0.738962 -1.53714 0.385203 -0.26393 -4.95611
-0.730391 -1.52857 0.382759 -0.306411 -4.95611
-0.721819 -1.52 0.37995 -0.348892 -4.95611
-0.713248 -1.51143 0.376778 -0.391373 -4.95611
-0.704677 -1.50286 0.373241 -0.433854 -4.95611
-0.696105 -1.49429 0.36934 -0.476335 -4.95611
-0.687534 -1.48571 0.365075 -0.518816 -4.95611
-0.678962 -1.47714 0.360446 -0.561297 -4.95611
-0.670391 -1.46857 0.355453 -0.603778 -4.95611
-0.661819 -1.46 0.350096 -0.646259 -4.95611
-0.653248 -1.45143 0.344374 -0.68874 -4.95611
-0.644677 -1.44286 0.338289 -0.731221 -4.95611
-0.636105 -1.43429 0.331839 -0.773702 -4.95611
-0.627534 -1.42571 0.325025 -0.816219 -4.98105
-0.618962 -1.41714 0.317845 -0.859234 -5.05586
-0.610391 -1.40857 0.310294 -0.902891 -5.13067
-0.601819 -1.4 0.302365 -0.947188 -5.20548
-0.593248 -1.39143 0.294054 -0.992127 -5.28028
-0.584677 -1.38286 0.285355 -1.03771 -5.35509
-0.576105 -1.37429 0.276263 -1.08393 -5.4299
-0.567534 -1.36571 0.266772 -1.13079 -5.50471
-0.558962 -1.35714 0.256876 -1.1783 -5.57952
-0.550391 -1.34857 0.246571 -1.22644 -5.65432
-0.541819 -1.34 0.23585 -1.27523 -5.72913
-0.533248 -1.33143 0.224708 -1.32465 -5.80394
-0.524677 -1.32286 0.21314 -1.37472 -5.87875
-0.516105 -1.31429 0.201139 -1.42543 -5.95356
-0.507534 -1.30571 0.188702 -1.47678 -6.02836
-0.498962 -1.29714 0.175821 -1.52878 -6.10317
-0.490391 -1.28857 0.162492 -1.58141 -6.17798
-0.481819 -1.28 0.148714 -1.63233 -5.42943
-0.473248 -1.27143 0.134537 -1.6739 -4.26883
-0.464677 -1.26286 0.120047 -1.70551 -3.10822
-0.456105 -1.25429 0.105329 -1.72718 -1.94761
-0.447534 -1.24571 0.0904668 -1.7389 -0.787004
-0.438962 -1.23714 0.0755472 -1.74067 0.373603
-0.430391 -1.22857 0.0606551 -1.7325 1.53421
-0.421819 -1.22 0.0458757 -1.71437 2.69482
-0.413248 -1.21143 0.0312943 -1.6863 3.85543
-0.404677 -1.20286 0.0169962 -1.64828 5.01603
-0.396105 -1.19429 0.00306655 -1.60031 6.17664
-0.387534 -1.18571 -0.0104093 -1.54239 7.33725
-0.378962 -1.17714 -0.023346 -1.47453 8.49786
-0.370391 -1.16857 -0.0356585 -1.39672 9.65846
-0.361819 -1.16 -0.0472613 -1.30895 10.8191
-0.353248 -1.15143 -0.0580693 -1.21125 11.9797
-0.344677 -1.14286 -0.0679971 -1.10359 13.1403
-0.336105 -1.13429 -0.076984 -0.99457 12.2967
