2.48139 -0.601351 -5.72653 
2.51256 -0.636704 -5.56272 
2.54453 -0.50123 -5.35586 
2.57732 -0.358337 -5.14626 
2.61097 -0.125028 -4.95352 
2.6455 0.0737262 -4.77783 
2.68097 0.287593 -4.57279 
2.71739 0.535567 -4.36181 
2.75482 0.82001 -4.1252 
2.7933 1.07362 -3.8736 
2.83286 -3.60839 
2.87356 -3.33036 
2.91545 -3.02469 
2.95858 -2.69863 
3.003 -2.27195 
3.04878 -1.80955 
3.09598 -1.46497 -2.37522 
3.003 -2.20501 
2.91545 -2.97495 
2.83286 -3.55341 
2.75482 0.892281 -4.06694 
2.68097 0.363683 -4.52242 
2.61097 -0.0742496 -4.93405 
2.54453 -0.497457 -5.33314 
2.48139 -0.896979 -5.74708 
