Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.24182 -1.04 -0.954644 -0.000609733 -0.251059
-0.233248 -1.03143 -0.954659 -0.00290822 -0.285254
-0.224677 -1.02286 -0.954695 -0.00549981 -0.319449
-0.216105 -1.01429 -0.954754 -0.0083845 -0.353645
-0.207534 -1.00571 -0.954839 -0.0115623 -0.38784
-0.198962 -0.997142 -0.954953 -0.0149978 -0.397256
-0.190391 -0.988571 -0.955096 -0.0182308 -0.357128
-0.18182 -0.979999 -0.955265 -0.02112 -0.317
-0.173248 -0.971428 -0.955457 -0.0236651 -0.276872
-0.164677 -0.962857 -0.955669 -0.0258664 -0.236744
-0.156105 -0.954285 -0.955899 -0.0277236 -0.196616
-0.147534 -0.945714 -0.956144 -0.0292369 -0.156488
-0.138962 -0.937142 -0.9564 -0.0304063 -0.11636
-0.130391 -0.928571 -0.956664 -0.0312317 -0.0762324
-0.12182 -0.919999 -0.956934 -0.0317131 -0.0361044
-0.113248 -0.911428 -0.957207 -0.0318506 0.0040236
-0.104677 -0.902857 -0.957479 -0.0316441 0.0441516
-0.0961052 -0.894285 -0.957748 -0.0310937 0.0842796
-0.0875338 -0.885714 -0.958011 -0.0301993 0.124408
-0.0789624 -0.877142 -0.958265 -0.028961 0.164536
-0.0703909 -0.868571 -0.958507 -0.0273787 0.204664
-0.0618195 -0.859999 -0.958733 -0.0254525 0.244791
-0.0532481 -0.851428 -0.958942 -0.0232963 0.245005
-0.0446767 -0.842857 -0.959133 -0.021281 0.225246
-0.0361052 -0.834285 -0.959307 -0.019435 0.205488
-0.0275338 -0.825714 -0.959467 -0.0177583 0.18573
-0.0189624 -0.817142 -0.959612 -0.016251 0.165971
-0.0103909 -0.808571 -0.959746 -0.0149131 0.146213
-0.00181951 -0.799999 -0.959869 -0.0137445 0.126455
0.00675192 -0.791428 -0.959982 -0.0127453 0.106696
0.0153233 -0.782857 -0.960087 -0.0119154 0.0869381
0.0238948 -0.774285 -0.960187 -0.0112549 0.0671798
0.0324662 -0.765714 -0.960281 -0.0107638 0.0474214
0.0410376 -0.757142 -0.960372 -0.010442 0.0276631
0.0496091 -0.748571 -0.96046 -0.0102895 0.00790475
0.0581805 -0.739999 -0.960549 -0.0103065 -0.0118536
0.0667519 -0.731428 -0.960638 -0.0104927 -0.0316119
0.0753233 -0.722857 -0.960729 -0.0108484 -0.0513703
0.0838948 -0.714285 -0.960824 -0.0113734 -0.0711222
0.0924662 -0.705714 -0.960924 -0.0119346 -0.0598233
0.101038 -0.697142 -0.961028 -0.0123989 -0.0485244
0.109609 -0.688571 -0.961136 -0.0127664 -0.0372255
