Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.233248 -1.03143 -0.884616 -0.0766754 -0.296809
-0.224677 -1.02286 -0.885286 -0.0796049 -0.386745
-0.216105 -1.01429 -0.885983 -0.0833053 -0.476682
-0.207534 -1.00571 -0.886716 -0.0877766 -0.566618
-0.198962 -0.997142 -0.88749 -0.092941 -0.602181
-0.190391 -0.988571 -0.888308 -0.0977891 -0.529024
-0.18182 -0.979999 -0.889165 -0.10201 -0.455866
-0.173248 -0.971428 -0.890055 -0.105604 -0.382709
-0.164677 -0.962857 -0.890973 -0.108571 -0.309552
-0.156105 -0.954285 -0.891914 -0.110911 -0.236395
-0.147534 -0.945714 -0.892873 -0.112623 -0.163237
-0.138962 -0.937142 -0.893843 -0.113709 -0.0900802
-0.130391 -0.928571 -0.89482 -0.114167 -0.016923
-0.12182 -0.919999 -0.895799 -0.113999 0.0562342
-0.113248 -0.911428 -0.896773 -0.113203 0.129391
-0.104677 -0.902857 -0.897737 -0.111781 0.202549
-0.0961052 -0.894285 -0.898687 -0.109731 0.275706
-0.0875338 -0.885714 -0.899617 -0.107054 0.348863
-0.0789624 -0.877142 -0.900521 -0.103751 0.42202
-0.0703909 -0.868571 -0.901394 -0.0998198 0.495178
-0.0618195 -0.859999 -0.90223 -0.0952619 0.568335
-0.0532481 -0.851428 -0.903025 -0.0902847 0.56874
-0.0446767 -0.842857 -0.903779 -0.0855641 0.532742
-0.0361052 -0.834285 -0.904493 -0.081152 0.496745
-0.0275338 -0.825714 -0.905171 -0.0770485 0.460747
-0.0189624 -0.817142 -0.905815 -0.0732535 0.42475
-0.0103909 -0.808571 -0.906427 -0.0697671 0.388752
-0.00181951 -0.799999 -0.907011 -0.0665892 0.352755
0.00675192 -0.791428 -0.90757 -0.0637198 0.316757
0.0153233 -0.782857 -0.908105 -0.0611591 0.28076
0.0238948 -0.774285 -0.908619 -0.0589068 0.244763
0.0324662 -0.765714 -0.909115 -0.0569631 0.208765
0.0410376 -0.757142 -0.909596 -0.055328 0.172768
0.0496091 -0.748571 -0.910065 -0.0540014 0.13677
0.0581805 -0.739999 -0.910523 -0.0529834 0.100773
0.0667519 -0.731428 -0.910974 -0.0522739 0.0647752
0.0753233 -0.722857 -0.91142 -0.0518729 0.0287778
0.0838948 -0.714285 -0.911864 -0.0517805 -0.0072086
0.0924662 -0.705714 -0.912308 -0.0517663 0.0105349
0.101038 -0.697142 -0.912751 -0.0515999 0.0282785
0.109609 -0.688571 -0.913192 -0.0512815 0.046022
0.11818 -0.679999 -0.91363 -0.050811 0.0637656
0.126752 -0.671428 -0.914063 -0.0501884 0.0815091
0.135323 -0.662857 -0.91449 -0.0494137 0.0992527
0.143895 -0.654285 -0.914909 -0.0484869 0.116996
0.152466 -0.645714 -0.91532 -0.047408 0.13474
0.161038 -0.637142 -0.915722 -0.0461771 0.152483
0.169609 -0.628571 -0.916112 -0.044794 0.170227
0.17818 -0.619999 -0.916489 -0.0432589 0.18797
0.186752 -0.611428 -0.916853 -0.0415717 0.205714
0.195323 -0.602857 -0.917201 -0.0397324 0.223457
0.203895 -0.594285 -0.917533 -0.037741 0.241201
0.212466 -0.585714 -0.917848 -0.0355975 0.258945
0.221038 -0.577142 -0.918143 -0.0333019 0.276688
0.229609 -0.568571 -0.918418 -0.0308631 0.288286
