total # of peaks = 1

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=41)
[[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752],[2.369609],[2.512468],[2.655326],[2.798180],[2.941039],[3.083893],[3.226752],[3.369609],[3.512468],[3.655326],[3.798180],[3.941039],[4.083893],[4.226752],[4.369609],[4.512468],[4.655326],[4.798180],[4.941039],[5.083893],[5.226752],[5.369609],[5.512468],[5.655326],[5.798180],[5.941039],[6.083893],[6.226752],[6.369609],[6.512468],[6.655326],[6.798180],[6.941039]]

yData (#.=41)
[-0.644663,-0.630265,-0.615002,-0.598513,-0.582728,-0.566582,-0.551541,-0.536749,-0.522777,-0.509522,-0.497614,-0.487262,-0.478836,-0.472808,-0.469698,-0.470031,-0.474036,-0.482052,-0.494064,-0.510182,-0.530252,-0.554053,-0.581500,-0.611952,-0.645143,-0.680915,-0.718580,-0.757856,-0.798303,-0.839441,-0.880843,-0.922233,-0.963092,-1.003099,-1.041905,-1.079188,-1.115137,-1.149605,-1.183023,-1.277638,-1.341874]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 44
time used = 0 seconds

fit coeffs
2.41322 0.352135 1 -3.02102 

fit coeffs error
0.0293555 0.0144239 0.161362 0.111871 

Statistics
===================================
R^2 (coefficient of determination) 
0.995172 (1 cycles)

RMS error 
0.0174989

average error 
0.0146638

average relative error 
0.022728

maximum error 
0.0460041
===================================

cutoff_lo_afreq 1.22675
cutoff_lo_sfreq 0.428572

cutoff_hi_afreq 6.94104
cutoff_hi_sfreq 6.14286

afreq_max 3.22675
sfreq_max 2.42857
loss_max  -0.469698

tauMax(afreq) 0.000952758
log(tauMax_a) -3.02102
tauMax(sfreq) 0.00598636
log(tauMax_s) -2.22284

Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 0.329337 4.6929
-0.630391 -1.42857 0.197639 4.6029
-0.487532 -1.28571 0.0665868 4.5456
-0.344674 -1.14285 -0.0625323 4.5095
-0.20182 -1 -0.187494 4.4823
-0.0589614 -0.857141 -0.303661 4.4587
0.083893 -0.714285 -0.406282 4.438
0.226752 -0.571428 -0.492414 4.4161
0.369609 -0.428571 -0.562154 4.3921
0.512468 -0.285712 -0.611206 4.3651
0.655326 -0.142855 -0.639501 4.3342
0.79818 0 -0.658051 4.3022
0.941039 0.142859 -0.659655 4.2655
1.08389 0.285715 -0.655293 4.2267
1.22675 0.428572 -0.644663 4.1843
1.36961 0.571429 -0.630265 4.1388
1.51247 0.714288 -0.615002 4.0904
1.65533 0.857145 -0.598513 4.04
1.79818 1 -0.582728 3.9869
1.94104 1.14286 -0.566582 3.9312
2.08389 1.28571 -0.551541 3.8735
2.22675 1.42857 -0.536749 3.8134
2.36961 1.57143 -0.522777 3.751
2.51247 1.71429 -0.509522 3.6863
2.65533 1.85715 -0.497614 3.6192
2.79818 2 -0.487262 3.5497
2.94104 2.14286 -0.478836 3.4787
3.08389 2.28571 -0.472808 3.4056
3.22675 2.42857 -0.469698 3.3311
3.36961 2.57143 -0.470031 3.2557
3.51247 2.71429 -0.474036 3.1805
3.65533 2.85715 -0.482052 3.106
3.79818 3 -0.494064 3.0338
3.94104 3.14286 -0.510182 2.964
4.08389 3.28571 -0.530252 2.8975
4.22675 3.42857 -0.554053 2.835
4.36961 3.57143 -0.5815 2.7765
4.51247 3.71429 -0.611952 2.7226
4.65533 3.85715 -0.645143 2.6731
4.79818 4 -0.680915 2.6279
4.94104 4.14286 -0.71858 2.587
5.08389 4.28571 -0.757856 2.5498
5.22675 4.42857 -0.798303 2.5164
5.36961 4.57143 -0.839441 2.4864
5.51247 4.71429 -0.880843 2.4593
5.65533 4.85715 -0.922233 2.4351
5.79818 5 -0.963092 2.4128
5.94104 5.14286 -1.0031 2.3929
6.08389 5.28571 -1.0419 2.3744
6.22675 5.42857 -1.07919 2.3578
6.36961 5.57143 -1.11514 2.3427
6.51247 5.71429 -1.1496 2.3287
6.65533 5.85715 -1.18302 2.3163
6.79818 6 -1.27764 2.3022
6.94104 6.14286 -1.34187 2.2959
7.08389 6.28571 -1.38578 2.2852
7.22675 6.42857 -1.49198 2.2799
7.36961 6.57143 -1.66498 2.2812
7.51247 6.71429 -1.71647 2.2801
7.65533 6.85715 -2.04028 2.2962
7.79818 7 -1.21521 2.3004


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 0.329337 -0.923265 0.0192988
-0.764677 -1.56286 0.321424 -0.9231 0.0192988
-0.756105 -1.55429 0.313512 -0.922935 0.0192988
-0.747534 -1.54571 0.305602 -0.922769 0.0192988
-0.738962 -1.53714 0.297694 -0.922604 0.0192988
-0.730391 -1.52857 0.289786 -0.922438 0.0192988
-0.721819 -1.52 0.28188 -0.922273 0.0192988
-0.713248 -1.51143 0.273976 -0.922107 0.0192988
-0.704677 -1.50286 0.266073 -0.921942 0.0192988
-0.696105 -1.49429 0.258171 -0.921777 0.0192988
-0.687534 -1.48571 0.250271 -0.921611 0.0192988
-0.678962 -1.47714 0.242372 -0.921446 0.0192988
-0.670391 -1.46857 0.234475 -0.92128 0.0192988
