403000  1  6.51247 

398000  1  6.36961 

393000  1  6.22675 

388000  1  6.08389 

383000  1  5.79818 

378000  1  5.65533 

373000  1  5.36961 

368000  1  5.22675 

363000  1  4.94104 

358000  1  4.65533 

353000  1  4.51247 

348000  1  4.22675 

343000  1  3.94104 

338000  1  3.65533 

333000  3  3.36961 3.94104 3.51247 

328000  2  3.08389 3.79818 

323000  1  2.79818 

333000  3  3.22675 3.79818 1.08389 

343000  1  3.79818 

353000  1  4.36961 

363000  1  4.94104 

373000  1  5.36961 

383000  1  5.79818 

393000  1  6.22675 

403000  1  6.51247 

