Raw Data                               
log.afreq  log.sfreq  log.loss  storage
=======================================
-0.773248 -1.57143 -0.643019 2.72
-0.233248 -1.03143 -0.750501 -0.179698 0.730318
-0.224677 -1.02286 -0.752013 -0.1728 0.879231
-0.216105 -1.01429 -0.75346 -0.164626 1.02814
-0.207534 -1.00571 -0.754831 -0.155175 1.17706
-0.198962 -0.997142 -0.756116 -0.144564 1.24454
-0.190391 -0.988571 -0.757311 -0.134305 1.14922
-0.18182 -0.979999 -0.758421 -0.124863 1.05389
-0.173248 -0.971428 -0.759454 -0.116238 0.958562
-0.164677 -0.962857 -0.760416 -0.108431 0.863235
-0.156105 -0.954285 -0.761315 -0.10144 0.767908
-0.147534 -0.945714 -0.762157 -0.0952665 0.672581
-0.138962 -0.937142 -0.76295 -0.0899101 0.577254
-0.130391 -0.928571 -0.763701 -0.0853707 0.481927
-0.12182 -0.919999 -0.764416 -0.0816484 0.386601
-0.113248 -0.911428 -0.765103 -0.0787433 0.291274
-0.104677 -0.902857 -0.765768 -0.0766552 0.195947
-0.0961052 -0.894285 -0.766419 -0.0753842 0.10062
-0.0875338 -0.885714 -0.767063 -0.0749303 0.0052931
-0.0789624 -0.877142 -0.767706 -0.0752934 -0.0900338
-0.0703909 -0.868571 -0.768356 -0.0764737 -0.185361
-0.0618195 -0.859999 -0.769019 -0.078471 -0.280687
-0.0532481 -0.851428 -0.769703 -0.0810373 -0.289146
-0.0446767 -0.842857 -0.770408 -0.0833657 -0.254138
-0.0361052 -0.834285 -0.771131 -0.085394 -0.21913
-0.0275338 -0.825714 -0.771871 -0.0871222 -0.184123
-0.0189624 -0.817142 -0.772624 -0.0885504 -0.149115
-0.0103909 -0.808571 -0.773388 -0.0896785 -0.114108
-0.00181951 -0.799999 -0.774161 -0.0905065 -0.0791
0.00675192 -0.791428 -0.774939 -0.0910345 -0.0440924
0.0153233 -0.782857 -0.77572 -0.0912624 -0.00908479
0.0238948 -0.774285 -0.776502 -0.0911902 0.0259228
0.0324662 -0.765714 -0.777283 -0.090818 0.0609304
0.0410376 -0.757142 -0.778058 -0.0901457 0.095938
0.0496091 -0.748571 -0.778827 -0.0891733 0.130946
0.0581805 -0.739999 -0.779586 -0.0879009 0.165953
0.0667519 -0.731428 -0.780333 -0.0863284 0.200961
0.0753233 -0.722857 -0.781065 -0.0844559 0.235968
0.0838948 -0.714285 -0.78178 -0.0822833 0.270969
0.0924662 -0.705714 -0.782475 -0.0799452 0.274584
0.101038 -0.697142 -0.783151 -0.0775761 0.278199
0.109609 -0.688571 -0.783805 -0.0751761 0.281813
0.11818 -0.679999 -0.784439 -0.072745 0.285428
0.126752 -0.671428 -0.785052 -0.070283 0.289042
0.135323 -0.662857 -0.785644 -0.06779 0.292657
0.143895 -0.654285 -0.786214 -0.065266 0.296271
0.152466 -0.645714 -0.786763 -0.0627111 0.299886
0.161038 -0.637142 -0.787289 -0.0601251 0.3035
0.169609 -0.628571 -0.787793 -0.0575082 0.307115
0.17818 -0.619999 -0.788275 -0.0548603 0.310729
0.186752 -0.611428 -0.788734 -0.0521814 0.314344
0.195323 -0.602857 -0.789169 -0.0494716 0.317959
0.203895 -0.594285 -0.789582 -0.0467307 0.321573
0.212466 -0.585714 -0.78997 -0.0439589 0.325188
0.221038 -0.577142 -0.790335 -0.0411561 0.328802
0.229609 -0.568571 -0.790676 -0.0383485 0.314033
0.23818 -0.559999 -0.790994 -0.0358777 0.262495
0.246752 -0.551428 -0.791292 -0.0338486 0.210956
0.255323 -0.542857 -0.791575 -0.0322613 0.159418
0.263895 -0.534285 -0.791846 -0.0311158 0.107879
0.272466 -0.525714 -0.79211 -0.030412 0.0563407
0.281038 -0.517142 -0.792369 -0.0301499 0.0048023
0.289609 -0.508571 -0.792628 -0.0303296 -0.0467361
0.29818 -0.499999 -0.79289 -0.0309511 -0.0982746
