Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 5:27:57 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.427325,0.3084826,0.2161265,1.716166E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,1.016148,0.1151198,0.1132904,4.363269E-06,
3,1,3,00:00:24,464158.9,1,0,-,-,-,0.9018781,8.097996E-02,8.979036E-02,2.09109E-06,
4,1,4,00:00:30,316227.8,1,0,-,-,-,0.8651598,7.224809E-02,8.350837E-02,1.271027E-06,
5,1,5,00:00:35,215443.5,1,0,-,-,-,0.8570833,0.0706244,8.240086E-02,8.464801E-07,
6,1,6,00:00:42,146779.9,1,0,-,-,-,0.8820343,7.855169E-02,8.905742E-02,6.414321E-07,
7,1,7,00:00:47,100000,1,0,-,-,-,0.8850514,7.922897E-02,8.951906E-02,4.407705E-07,
8,1,8,00:00:53,68129.2,1,0,-,-,-,0.8972059,8.277823E-02,9.226225E-02,3.137458E-07,
9,1,9,00:01:02,46415.89,1,0,-,-,-,0.9148262,8.666126E-02,9.472975E-02,2.237794E-07,
10,1,10,00:01:07,31622.78,1,0,-,-,-,0.9353701,9.050978E-02,0.0967636,1.592297E-07,
11,1,11,00:01:13,21544.35,1,0,-,-,-,0.9578432,9.384513E-02,9.797546E-02,1.124796E-07,
12,1,12,00:01:19,14677.99,1,0,-,-,-,0.9839239,9.663225E-02,0.0982111,7.890731E-08,
13,1,13,00:01:25,10000,1,0,-,-,-,1.008404,0.0979795,9.716298E-02,5.450844E-08,
14,1,14,00:01:31,6812.921,1,0,-,-,-,1.034403,0.0977963,9.454367E-02,3.706673E-08,
15,1,15,00:01:37,4641.589,1,0,-,-,-,1.060704,9.512699E-02,8.968289E-02,2.4564E-08,
16,1,16,00:01:43,3162.278,1,0,-,-,-,1.085881,9.015258E-02,8.302252E-02,1.586013E-08,
17,1,17,00:01:49,2154.435,1,0,-,-,-,1.109472,8.321756E-02,7.500646E-02,9.974173E-09,
18,1,18,00:01:55,1467.799,1,0,-,-,-,1.130439,7.483005E-02,6.619558E-02,6.110421E-09,
19,1,19,00:02:01,1000,1,0,-,-,-,1.148331,6.511802E-02,5.670666E-02,3.622678E-09,
20,1,20,00:02:07,681.2921,1,0,-,-,-,1.163195,5.534883E-02,4.758346E-02,2.09783E-09,
21,1,21,00:02:13,464.1589,1,0,-,-,-,1.17498,4.569737E-02,3.889205E-02,1.180012E-09,
22,1,22,00:02:19,316.2278,1,0,-,-,-,1.183779,3.618304E-02,0.0305657,6.365515E-10,
23,1,23,00:02:27,215.4435,1,0,-,-,-,1.190472,2.918391E-02,2.451458E-02,3.497884E-10,
24,1,24,00:02:33,146.7799,1,0,-,-,-,1.195382,2.259243E-02,1.889977E-02,1.844837E-10,
25,1,25,00:02:39,100,1,0,-,-,-,1.198596,1.721126E-02,1.435952E-02,9.575053E-11,
26,1,26,00:02:45,68.1292,1,0,-,-,-,1.201407,1.416554E-02,1.179079E-02,5.36902E-11,
27,1,27,00:02:50,46.41589,1,0,-,-,-,1.20059,1.118424E-02,9.315614E-03,2.888029E-11,
28,1,28,00:02:56,31.62278,1,0,-,-,-,1.204172,7.502915E-03,6.230768E-03,1.319954E-11,
29,1,29,00:03:02,21.54435,1,0,-,-,-,1.202837,6.642357E-03,5.522242E-03,7.961303E-12,
30,1,30,00:03:08,14.67799,1,0,-,-,-,1.205356,4.049762E-03,3.359807E-03,3.306927E-12,
31,1,31,00:03:14,10,1,0,-,-,-,1.205393,5.261607E-03,4.365056E-03,2.927163E-12,
