438 1.26329 0.710291 0.727643 -7.15692 0.999318
433 1.22848 0.666632 1 -7.14991 0.998489
428 1.27504 0.652677 1 -6.96607 0.998786
423 1.3784 0.620342 1 -6.8028 0.99773
418 1.43989 0.601397 1 -6.62343 0.998305
413 1.5097 0.572406 1 -6.43917 0.996849
408 1.55333 0.553401 1 -6.2442 0.997438
403 1.60711 0.526809 1 -6.03405 0.995336
398 1.65597 0.501288 1 -5.81107 0.992316
393 1.69697 0.477776 1 -5.59411 0.993465
388 1.73173 0.453696 1 -5.34783 0.990718
383 1.7318 0.440515 1 -5.08253 0.989044
378 1.76834 0.409626 1 -4.83111 0.987507
373 1.74027 0.395675 1 -4.59978 0.992408
368 1.70512 0.380389 1 -4.35365 0.991589
363 1.61164 0.381846 1 -4.1341 0.986382
358 1.5087 0.378293 1 -3.97304 0.988285
353 1.4472 0.356871 1 -3.79552 0.99338
353 0.0974062 0.865862 1 -0.80533 0.976548
353 0.0112168 1 1 -4.11002 0.997757
353 0.0264498 1 1 -4.45947 0.96831
343 1.25025 0.363052 0.927989 -3.42046 0.993224
343 0.434172 0.732625 1 0.719308 0.99153
343 0.0123654 1 0.813273 -3.62274 0.99144
338 1.17181 0.379258 0.828595 -3.13074 0.993136
338 0.0116984 0.937807 0.859688 -3.42948 0.997981
333 1.12588 0.378063 0.795786 -2.90452 0.991064
333 0.0144099 0.878366 1 -3.28743 0.99388
328 1.08614 0.385293 0.741656 -2.64457 0.991859
328 0.0142127 0.916355 0.800718 -3.00753 0.990925
328 0.00518535 1 0.902669 -3.63666 1
323 1.04861 0.412239 0.635436 -2.29209 0.995569
323 0.0106581 0.85348 0.874771 -3.05392 0.991749
318 1.03607 0.386688 0.682331 -2.1515 0.992584
318 0.0144413 0.861715 0.904893 -2.72087 0.987135
318 0.00787657 1 1 -2.17295 0.958487
318 0.00533402 1 1 -3.48732 0.964068
313 1.01381 0.393971 0.636481 -1.86097 0.993448
313 0.013532 0.806987 1 -2.65473 0.985084
308 0.993065 0.408812 0.579452 -1.54771 0.99532
308 0.0112417 0.807619 1 -2.66396 0.984299
303 0.973109 0.42338 0.532407 -1.2463 0.996476
303 0.0102934 0.778697 1 -2.68041 0.992966
298 0.953163 0.437588 0.493286 -0.955977 0.996979
298 0.00930801 0.814736 1 -2.67285 0.990225
293 0.940691 0.440219 0.475221 -0.678376 0.99687
288 0.926077 0.444311 0.456572 -0.397642 0.996844
283 0.908356 0.444821 0.451858 -0.155059 0.997035
278 0.857486 0.508345 0.371056 0.129189 0.996952
273 0.826248 0.537545 0.341239 0.378677 0.996756
